"","Suburb","Address","Rooms","Type","Price","Method","SellerG","Date","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea","Lattitude","Longtitude","Regionname","Propertycount","Age"
"298","Keilor East","23 Viewbank Dr",4,"h",732000,"S","Nelson","28/08/2016",12.8,3033,4,2,2,544,233,1980,"Moonee Valley",-37.7479,144.8763,"Western Metropolitan",5629,43
"299","Kensington","65 Gatehouse Dr",3,"h",852000,"S","Nelson","3/09/2016",4.2,3031,3,1,1,166,138,2000,"Melbourne",-37.7929,144.9197,"Northern Metropolitan",5263,23
"300","Kensington","10 Altona St",2,"h",905000,"S","Edward","8/10/2016",4.2,3031,2,2,1,138,126,1999,"Melbourne",-37.799,144.9276,"Northern Metropolitan",5263,24
"301","Kensington","13 Youlden St",3,"h",870000,"S","Greg","8/10/2016",4.2,3031,3,1,1,211,95,1992,"Melbourne",-37.7891,144.926,"Northern Metropolitan",5263,31
"302","Kensington","109 Rankins Rd",2,"h",1234500,"SP","Nelson","13/08/2016",4.2,3031,2,2,2,169,127,2008,"Melbourne",-37.7922,144.9316,"Northern Metropolitan",5263,15
"303","Kensington","38 Rourke La",2,"h",732000,"SP","Nelson","18/06/2016",4.2,3031,3,2,1,94,130,2002,"Melbourne",-37.7934,144.9166,"Northern Metropolitan",5263,21
"304","Kensington","51 Gatehouse Dr",3,"h",1e+06,"SP","Nelson","19/11/2016",4.2,3031,3,2,2,211,132,1997,"Melbourne",-37.7926,144.9197,"Northern Metropolitan",5263,26
"305","Kensington","5 Rogan La",2,"h",868000,"S","Nelson","25/02/2017",4.2,3031,2,1,1,97,103,2000,"Melbourne",-37.7921,144.9234,"Northern Metropolitan",5263,23
"306","Kew","7 Clevedon Ct",4,"h",1950000,"VB","Kay","8/10/2016",5.6,3101,3,2,2,400,251,2000,"Boroondara",-37.8147,145.0438,"Southern Metropolitan",10331,23
"307","Kew","8 Merrion Pl",3,"h",1878000,"SP","Jellis","10/09/2016",5.6,3101,3,2,1,392,426,2015,"Boroondara",-37.8081,145.0263,"Southern Metropolitan",10331,8
"308","Kew","75 Derby St",4,"h",1910000,"PI","Bekdon","10/12/2016",5.6,3101,4,3,2,277,199,2016,"Boroondara",-37.8007,145.0374,"Southern Metropolitan",10331,7
"309","Kew","33 Argyle Rd",4,"h",2286000,"S","Jellis","15/10/2016",5.6,3101,4,3,2,712,237,1975,"Boroondara",-37.8034,145.0527,"Southern Metropolitan",10331,48
"310","Kew","56 Cecil St",4,"h",2350000,"VB","Jellis","17/09/2016",5.6,3101,4,2,2,861,358,1983,"Boroondara",-37.8047,145.0534,"Southern Metropolitan",10331,40
"311","Kew","2A Churchill St",3,"h",1476000,"S","Jellis","18/03/2017",5.6,3101,3,2,2,288,203,1997,"Boroondara",-37.7997,145.046,"Southern Metropolitan",10331,26
"312","Kew","176 Peel St",5,"h",2550000,"PI","Marshall","18/06/2016",5.6,3101,5,4,2,597,342,2016,"Boroondara",-37.7937,145.0353,"Southern Metropolitan",10331,7
"313","Kew","7a Peel St",3,"h",1450000,"VB","Jellis","22/05/2016",5.6,3101,3,2,2,247,204,1998,"Boroondara",-37.8053,145.0327,"Southern Metropolitan",10331,25
"314","Kew","18 Collins St",4,"h",1750000,"S","hockingstuart","27/11/2016",5.6,3101,4,3,2,641,230,2010,"Boroondara",-37.7982,145.0281,"Southern Metropolitan",10331,13
"315","Kew","27 Fernhurst Gr",4,"h",2560000,"PI","Jellis","27/11/2016",5.6,3101,4,3,4,670,346,1990,"Boroondara",-37.8042,145.0279,"Southern Metropolitan",10331,33
"316","Kew","69 Malin St",5,"h",3280000,"PI","Marshall","27/11/2016",5.6,3101,4,5,2,480,147,1979,"Boroondara",-37.8117,145.0449,"Southern Metropolitan",10331,44
"317","Kew","31 Argyle Rd",4,"h",2600000,"VB","Kay","28/08/2016",5.6,3101,4,3,2,700,700,1992,"Boroondara",-37.8033,145.0526,"Southern Metropolitan",10331,31
"318","Kew","82 Parkhill Rd",3,"h",1420000,"S","Marshall","28/08/2016",5.6,3101,3,2,2,275,153,1999,"Boroondara",-37.8052,145.0489,"Southern Metropolitan",10331,24
"319","Maidstone","32 Ringtail Cct",4,"h",826000,"S","Rendina","3/09/2016",9.2,3012,4,2,2,308,185,2012,"Maribyrnong",-37.7833,144.8817,"Western Metropolitan",3873,11
"320","Maidstone","2/120 Suffolk St",2,"h",502000,"SP","Sweeney","8/10/2016",9.2,3012,2,1,1,144,79,2005,"Maribyrnong",-37.7895,144.8667,"Western Metropolitan",3873,18
"321","Maidstone","45 Radio St",3,"h",695000,"S","Burnham","15/10/2016",9.2,3012,3,1,2,214,146,2007,"Maribyrnong",-37.7798,144.8661,"Western Metropolitan",3873,16
"322","Maidstone","4 Maple St",5,"h",1350000,"S","Biggin","19/11/2016",9.2,3012,5,3,2,527,358,2009,"Maribyrnong",-37.7746,144.8727,"Western Metropolitan",3873,14
"323","Malvern","3 Plant St",4,"h",3460000,"S","Jellis","4/06/2016",7.4,3144,4,2,2,502,309,2016,"Stonnington",-37.8515,145.0324,"Southern Metropolitan",4675,7
"324","Malvern","41 Horace St",4,"h",3800000,"S","Kay","13/08/2016",7.4,3144,4,3,2,587,392,2016,"Stonnington",-37.8613,145.0393,"Southern Metropolitan",4675,7
"325","Malvern","10 Woodmason St",3,"h",2355000,"S","Marshall","18/06/2016",7.4,3144,3,2,4,471,235,1985,"Stonnington",-37.851,145.0316,"Southern Metropolitan",4675,38
"326","Malvern","3/197 Wattletree Rd",5,"h",2325000,"S","Marshall","25/02/2017",7.4,3144,5,3,2,501,233,2006,"Stonnington",-37.8631,145.0353,"Southern Metropolitan",4675,17
"327","Malvern","11 Childers Rd",2,"h",1475000,"S","Marshall","27/11/2016",7.4,3144,2,1,1,232,95,2001,"Stonnington",-37.8686,145.038,"Southern Metropolitan",4675,22
"328","Malvern East","1/13 Goode St",3,"h",1210000,"S","Marshall","3/09/2016",11.2,3145,3,2,1,337,146,1993,"Stonnington",-37.8833,145.0697,"Southern Metropolitan",8801,30
"329","Malvern East","2b Brunel St",3,"h",1680000,"S","hockingstuart","22/08/2016",11.2,3145,3,2,2,234,201,1998,"Stonnington",-37.8695,145.05,"Southern Metropolitan",8801,25
"330","Malvern East","401A Waverley Rd",4,"h",1350000,"VB","Jellis","27/11/2016",11.2,3145,4,3,2,222,90,2010,"Stonnington",-37.878,145.0666,"Southern Metropolitan",8801,13
"331","Malvern East","20a Thurso St",3,"h",950000,"VB","Jellis","28/08/2016",11.2,3145,3,1,1,288,132,1999,"Stonnington",-37.8752,145.0817,"Southern Metropolitan",8801,24
"332","Maribyrnong","8/10 Middle Rd",2,"h",399000,"S","Raine","7/05/2016",8.7,3032,2,1,1,904,53,1985,"Maribyrnong",-37.7679,144.8935,"Western Metropolitan",4918,38
"333","Maribyrnong","4 Platypus Ct",5,"h",1150000,"SP","Biggin","10/09/2016",8.7,3032,5,3,2,446,286,2002,"Maribyrnong",-37.7712,144.8763,"Western Metropolitan",4918,21
"334","Maribyrnong","12 Marin La",3,"h",847000,"S","Nelson","12/11/2016",8.7,3032,3,2,2,222,200,2002,"Maribyrnong",-37.7697,144.878,"Western Metropolitan",4918,21
"335","Maribyrnong","12 Newstead St",4,"h",1900000,"VB","Nelson","17/09/2016",8.7,3032,4,3,8,865,374,2013,"Maribyrnong",-37.7682,144.8971,"Western Metropolitan",4918,10
"336","Maribyrnong","23/4 Wests Rd",3,"h",456000,"SP","Raine","18/03/2017",8.7,3032,3,2,2,4977,95,2005,"Maribyrnong",-37.7737,144.8816,"Western Metropolitan",4918,18
"337","Maribyrnong","6/4 Belvedere Cl",3,"h",780000,"VB","Nelson","22/05/2016",8.7,3032,3,3,2,173,184,2000,"Maribyrnong",-37.773,144.8947,"Western Metropolitan",4918,23
"338","Maribyrnong","2 Murnong St",4,"h",1048700,"SP","Brad","23/04/2016",8.7,3032,3,2,2,452,245,1999,"Maribyrnong",-37.774,144.877,"Western Metropolitan",4918,24
"339","Maribyrnong","9 Lyric St",4,"h",1117000,"S","Sweeney","25/02/2017",8.7,3032,4,3,2,325,207,2005,"Maribyrnong",-37.7822,144.8922,"Western Metropolitan",4918,18
"340","Maribyrnong","329 Gordon St",4,"h",770000,"SP","Jas","26/07/2016",8.7,3032,4,2,2,215,231,2000,"Maribyrnong",-37.7817,144.8916,"Western Metropolitan",4918,23
"341","Maribyrnong","75 Edgewater Bvd",3,"h",820000,"PI","Biggin","28/05/2016",8.7,3032,3,2,2,203,160,2006,"Maribyrnong",-37.7853,144.8972,"Western Metropolitan",4918,17
"342","Maribyrnong","6 Ibis Pl",4,"h",1230000,"SP","Biggin","28/08/2016",8.7,3032,3,3,2,270,215,2009,"Maribyrnong",-37.7847,144.8962,"Western Metropolitan",4918,14
"343","Maribyrnong","12 Ibis Pl",3,"h",884500,"S","Jellis","30/07/2016",8.7,3032,3,2,2,211,234,2005,"Maribyrnong",-37.7848,144.8969,"Western Metropolitan",4918,18
"344","Maribyrnong","21 Mitchell St",3,"h",820000,"VB","Biggin","30/07/2016",8.7,3032,3,1,4,578,176,2006,"Maribyrnong",-37.7837,144.8887,"Western Metropolitan",4918,17
"345","Middle Park","171 Ashworth St",3,"h",2623000,"S","Greg","26/07/2016",4.1,3206,3,2,2,181,212,2010,"Port Phillip",-37.8536,144.9625,"Southern Metropolitan",2019,13
"346","Mont Albert","4/30 Kenmare St",5,"h",1400000,"PI","Marshall","10/12/2016",11.8,3127,5,4,2,355,25,1979,"Whitehorse",-37.812,145.1074,"Eastern Metropolitan",2079,44
"347","Moonee Ponds","76 Argyle St",3,"h",1550000,"SP","Brad","8/10/2016",6.9,3039,3,2,3,477,258,2014,"Moonee Valley",-37.7661,144.9076,"Western Metropolitan",6232,9
"348","Moonee Ponds","1/31 Holberg St",3,"h",832000,"S","Jellis","10/09/2016",6.9,3039,3,2,2,214,111,1997,"Moonee Valley",-37.7709,144.9334,"Western Metropolitan",6232,26
"349","Moonee Ponds","30 Tennyson St",3,"h",1505000,"S","Jellis","12/11/2016",6.9,3039,3,2,2,249,168,2007,"Moonee Valley",-37.7609,144.9296,"Western Metropolitan",6232,16
"350","Moonee Ponds","44 Vine St",5,"h",2340000,"S","Rendina","15/10/2016",6.9,3039,5,3,3,619,372,2009,"Moonee Valley",-37.7691,144.9321,"Western Metropolitan",6232,14
"351","Moonee Ponds","1a Ardmillan Rd",3,"h",1250000,"S","Raine","23/04/2016",6.9,3039,3,2,1,283,222,2002,"Moonee Valley",-37.7638,144.9175,"Western Metropolitan",6232,21
"352","Moorabbin","8b William St",4,"h",1140000,"SA","Buxton","4/06/2016",14.6,3189,4,2,1,318,242,2015,"Kingston",-37.9443,145.0448,"Southern Metropolitan",2555,8
"353","Moorabbin","5A William St",4,"h",1016000,"S","Buxton","11/02/2017",14.6,3189,4,3,2,272,188,2000,"Kingston",-37.9443,145.0444,"Southern Metropolitan",2555,23
"354","Moorabbin","2 Margaret St",4,"h",1300000,"S","Woodards","17/09/2016",14.6,3189,4,3,2,743,171,1973,"Kingston",-37.9362,145.0442,"Southern Metropolitan",2555,50
"355","Moorabbin","10 Beilby St",3,"h",8e+05,"PI","hockingstuart","26/07/2016",14.6,3189,3,2,2,261,107,1990,"Kingston",-37.9429,145.0474,"Southern Metropolitan",2555,33
"356","Moorabbin","2/3 Fiddes St",2,"h",776000,"S","Ray","27/11/2016",14.6,3189,2,1,1,209,101,2002,"Kingston",-37.9389,145.0467,"Southern Metropolitan",2555,21
"357","Moorabbin","17 Horsmunden Rd",4,"h",1160000,"S","Gary","28/05/2016",14.6,3189,4,2,2,588,199,2011,"Kingston",-37.9395,145.0477,"Southern Metropolitan",2555,12
"358","Newport","14 Chalmers La",3,"h",9e+05,"SP","Raine","3/12/2016",8.4,3015,3,2,2,194,176,2010,"Hobsons Bay",-37.8395,144.8787,"Western Metropolitan",5498,13
"359","Newport","4/31 Clyde St",3,"h",655800,"S","Greg","6/08/2016",8.4,3015,2,2,1,178,102,2009,"Hobsons Bay",-37.8416,144.8651,"Western Metropolitan",5498,14
"360","Newport","51 Home Rd",4,"h",1082000,"S","Village","6/08/2016",8.4,3015,4,3,2,233,165,2011,"Hobsons Bay",-37.841,144.8874,"Western Metropolitan",5498,12
"361","Newport","1/94 The Strand",3,"h",1400000,"PI","Greg","7/05/2016",8.4,3015,3,2,3,2522,195,2006,"Hobsons Bay",-37.8462,144.8944,"Western Metropolitan",5498,17
"362","Newport","75 Woods St",4,"h",1620000,"S","Williams","14/05/2016",8.4,3015,4,3,1,425,233,2015,"Hobsons Bay",-37.8456,144.8741,"Western Metropolitan",5498,8
"363","Newport","1 Durkin St",2,"h",740000,"S","RT","16/04/2016",8.4,3015,2,2,1,213,127,2006,"Hobsons Bay",-37.8441,144.8805,"Western Metropolitan",5498,17
"364","Newport","15 Jubilee St",4,"h",1040000,"S","Greg","17/09/2016",8.4,3015,3,2,2,299,198,2004,"Hobsons Bay",-37.8477,144.8706,"Western Metropolitan",5498,19
"365","Newport","5/67 Oxford St",2,"h",680000,"SP","RT","23/04/2016",8.4,3015,2,1,1,229,101,2000,"Hobsons Bay",-37.8368,144.8768,"Western Metropolitan",5498,23
"366","Newport","16 Davies St",2,"h",793000,"S","Gunn&Co","24/09/2016",8.4,3015,2,1,1,144,140,1995,"Hobsons Bay",-37.845,144.8873,"Western Metropolitan",5498,28
"367","Newport","7 Durkin St",3,"h",945000,"S","Jas","28/05/2016",8.4,3015,4,2,1,487,190,2017,"Hobsons Bay",-37.8438,144.8806,"Western Metropolitan",5498,6
"368","Newport","87 Schutt St",3,"h",9e+05,"SP","Greg","30/07/2016",8.4,3015,3,2,2,360,168,2013,"Hobsons Bay",-37.835,144.8814,"Western Metropolitan",5498,10
"369","Niddrie","39 Cuthbert St",4,"h",1350000,"SP","Barry","7/11/2016",11.2,3042,4,3,2,747,242,1985,"Moonee Valley",-37.7387,144.8827,"Western Metropolitan",2291,38
"370","Niddrie","44 Jackson St",5,"h",1400000,"VB","Nelson","17/09/2016",11.2,3042,4,2,2,650,290,2005,"Moonee Valley",-37.7391,144.8875,"Western Metropolitan",2291,18
"371","Niddrie","2 Kelvin Cl",4,"h",1080000,"S","Nelson","17/09/2016",11.2,3042,3,3,2,539,162,1976,"Moonee Valley",-37.7444,144.8847,"Western Metropolitan",2291,47
"372","North Melbourne","8 Haines St",3,"h",1340000,"S","W.B.","4/03/2017",2.3,3051,3,1,0,83,129,1980,"Melbourne",-37.7987,144.9497,"Northern Metropolitan",6821,43
"373","North Melbourne","16 Scotia St",3,"h",1325000,"S","Nelson","10/12/2016",2.3,3051,3,2,1,97,139,2011,"Melbourne",-37.8014,144.949,"Northern Metropolitan",6821,12
"374","North Melbourne","44 Byron St",2,"h",990000,"S","Nelson","15/10/2016",2.3,3051,2,2,1,584,120,2008,"Melbourne",-37.8016,144.9508,"Northern Metropolitan",6821,15
"375","Northcote","57A Derby St",3,"h",1382500,"SA","Nelson","3/09/2016",5.5,3070,3,2,2,286,188,2007,"Darebin",-37.7708,145.0054,"Northern Metropolitan",11364,16
"376","Northcote","12 Simpson St",6,"h",2e+06,"SP","Nelson","4/06/2016",5.5,3070,6,2,2,772,257,1992,"Darebin",-37.7813,145.0065,"Northern Metropolitan",11364,31
"377","Northcote","20 Salisbury Gr",2,"h",790000,"PI","McGrath","10/09/2016",5.5,3070,2,1,1,136,78,2000,"Darebin",-37.7651,145.0027,"Northern Metropolitan",11364,23
"378","Northcote","1/78 Helen St",3,"h",1010000,"S","Nelson","15/10/2016",5.5,3070,3,1,1,178,124,2000,"Darebin",-37.771,144.9974,"Northern Metropolitan",11364,23
"379","Northcote","121 Bent St",2,"h",888000,"SP","hockingstuart","16/04/2016",5.5,3070,2,1,1,190,102,1985,"Darebin",-37.7667,144.9909,"Northern Metropolitan",11364,38
"380","Northcote","2/13 Spencer St",2,"h",844000,"S","Barry","16/04/2016",5.5,3070,2,1,1,174,106,1995,"Darebin",-37.7642,144.9963,"Northern Metropolitan",11364,28
"381","Northcote","51 Beavers Rd",2,"h",910000,"S","Jellis","30/07/2016",5.5,3070,2,1,1,150,81,1995,"Darebin",-37.7665,144.9955,"Northern Metropolitan",11364,28
"382","Oak Park","68 Vincent St",4,"h",855333,"S","Eview","28/08/2016",11.5,3046,4,1,2,694,183,1974,"Moreland",-37.718,144.9138,"Northern Metropolitan",2651,49
"383","Oak Park","11 Hillcrest Rd",5,"h",9e+05,"VB","Brad","30/07/2016",11.5,3046,5,2,2,568,260,1995,"Moreland",-37.7129,144.9253,"Northern Metropolitan",2651,28
"384","Oakleigh South","16 Alleford St",3,"h",875000,"S","Buxton","4/03/2017",14.7,3167,3,2,1,258,105,1999,"Monash",-37.9156,145.0879,"South-Eastern Metropolitan",3692,24
"385","Oakleigh South","2/1073 Centre Rd",4,"h",651000,"PI","Woodards","7/05/2016",14.7,3167,4,2,2,214,189,2010,"Kingston",-37.9244,145.0883,"South-Eastern Metropolitan",3692,13
"386","Oakleigh South","4 Cascade St",5,"h",9e+05,"S","Ray","11/02/2017",14.7,3167,5,2,2,558,239,1987,"Kingston",-37.9366,145.0954,"South-Eastern Metropolitan",3692,36
"387","Oakleigh South","20 Vanessa Ct",4,"h",937500,"SP","Greg","28/05/2016",14.7,3167,4,2,2,539,226,1993,"Kingston",-37.9413,145.0957,"South-Eastern Metropolitan",3692,30
"388","Oakleigh South","15 Yarra Ct",4,"h",1126000,"S","Buxton","28/08/2016",14.7,3167,4,2,2,530,242,1980,"Kingston",-37.935,145.083,"South-Eastern Metropolitan",3692,43
"389","Parkville","50 Strickland Rd",4,"h",1230000,"S","Nelson","3/09/2016",2.6,3052,4,2,2,357,249,2009,"Melbourne",-37.7767,144.9403,"Northern Metropolitan",2309,14
"390","Pascoe Vale","31 Zenith St",4,"h",1196000,"S","Nelson","4/03/2017",9.9,3044,4,2,2,559,281,1997,"Moreland",-37.7236,144.9347,"Northern Metropolitan",7485,26
"391","Pascoe Vale","2 Donnelly Ct",3,"h",738000,"SP","Brad","7/05/2016",9.9,3044,3,1,1,821,106,1974,"Moreland",-37.7153,144.9418,"Northern Metropolitan",7485,49
"392","Pascoe Vale","9/12 Pascoe St",2,"h",386000,"S","D'Aprano","7/05/2016",9.9,3044,2,1,1,111,67,1987,"Moreland",-37.7152,144.9349,"Northern Metropolitan",7485,36
"393","Pascoe Vale","3/30 Snell Gr",3,"h",522500,"S","Raine","7/05/2016",9.9,3044,3,1,1,192,121,2005,"Moreland",-37.7177,144.9321,"Northern Metropolitan",7485,18
"394","Pascoe Vale","60 Kent Rd",2,"h",741000,"S","Raine","7/11/2016",9.9,3044,2,1,2,520,300,2006,"Moreland",-37.7204,144.9446,"Northern Metropolitan",7485,17
"395","Pascoe Vale","282 Cumberland Rd",3,"h",750000,"SP","hockingstuart","18/03/2017",9.9,3044,3,2,2,540,146,1999,"Moreland",-37.7174,144.941,"Northern Metropolitan",7485,24
"396","Pascoe Vale","48 Derby St",4,"h",822000,"SP","hockingstuart","18/03/2017",9.9,3044,4,2,2,250,194,1983,"Moreland",-37.7319,144.9461,"Northern Metropolitan",7485,40
"397","Pascoe Vale","7 Coane St",4,"h",1350000,"PI","Nelson","19/11/2016",9.9,3044,4,2,2,646,287,1995,"Moreland",-37.7256,144.9383,"Northern Metropolitan",7485,28
"398","Pascoe Vale","95 Essex St",4,"h",985000,"SP","Ray","25/02/2017",9.9,3044,4,2,2,511,182,2007,"Moreland",-37.7268,144.9401,"Northern Metropolitan",7485,16
"399","Pascoe Vale","2/153 Essex St",2,"h",525500,"S","Considine","28/05/2016",9.9,3044,2,1,1,111,84,2000,"Moreland",-37.7261,144.9336,"Northern Metropolitan",7485,23
"400","Pascoe Vale","4/1 Rhodes Pde",3,"h",5e+05,"VB","hockingstuart","30/07/2016",9.9,3044,3,1,2,191,92,2013,"Moreland",-37.7168,144.9329,"Northern Metropolitan",7485,10
"401","Port Melbourne","22 Park Sq",3,"h",1630000,"S","Marshall","4/03/2017",3.8,3207,3,2,2,135,135,1997,"Port Phillip",-37.8395,144.9343,"Southern Metropolitan",8648,26
"402","Port Melbourne","218 Nott St",2,"h",1275000,"S","Marshall","7/05/2016",3.8,3207,2,2,1,115,115,2015,"Melbourne",-37.8351,144.9441,"Southern Metropolitan",8648,8
"403","Port Melbourne","106 Ross St",2,"h",1e+06,"VB","Marshall","7/05/2016",3.8,3207,2,1,1,90,106,2007,"Melbourne",-37.8357,144.9376,"Southern Metropolitan",8648,16
"404","Port Melbourne","2/8 Thomas St",2,"h",880000,"S","Greg","10/12/2016",3.8,3207,2,1,2,163,83,1980,"Port Phillip",-37.8359,144.9358,"Southern Metropolitan",8648,43
"405","Port Melbourne","9 The Cove",3,"h",1570000,"S","Biggin","17/09/2016",3.8,3207,3,2,1,210,211,1999,"Port Phillip",-37.8382,144.9272,"Southern Metropolitan",8648,24
"406","Port Melbourne","126 Heath St",3,"h",3705000,"S","Greg","27/11/2016",3.8,3207,3,2,2,214,241,2014,"Port Phillip",-37.8341,144.9458,"Southern Metropolitan",8648,9
"407","Port Melbourne","215 Princes St",3,"h",1350000,"S","hockingstuart","27/11/2016",3.8,3207,3,1,1,114,138,1990,"Melbourne",-37.8371,144.939,"Southern Metropolitan",8648,33
"408","Prahran","20a Percy St",2,"h",950000,"PI","hockingstuart","3/09/2016",4.5,3181,2,1,1,88,121,2000,"Stonnington",-37.8503,144.9913,"Southern Metropolitan",7717,23
"409","Prahran","20a Park Rd",3,"h",1100000,"PI","hockingstuart","14/05/2016",4.5,3181,2,1,1,111,99,2001,"Stonnington",-37.8525,145.0071,"Southern Metropolitan",7717,22
"410","Prahran","56 Packington St",3,"h",1720000,"S","Marshall","25/02/2017",4.5,3181,3,2,2,183,200,1999,"Stonnington",-37.8562,145.0042,"Southern Metropolitan",7717,24
"411","Prahran","16A Perth St",3,"h",1050000,"S","Marshall","25/02/2017",4.5,3181,3,2,1,8216,130,1995,"Stonnington",-37.85,144.9876,"Southern Metropolitan",7717,28
"412","Preston","6 Dalgety St",3,"h",1250000,"S","Harcourts","3/09/2016",8.8,3072,3,1,2,644,141,1980,"Darebin",-37.7419,145.0049,"Northern Metropolitan",14577,43
"413","Preston","131b Albert St",2,"h",540000,"PI","hockingstuart","7/11/2016",8.8,3072,2,1,2,250,97,2005,"Darebin",-37.7373,145.0237,"Northern Metropolitan",14577,18
"414","Preston","16 Opal St",2,"h",6e+05,"S","Nelson","10/09/2016",8.8,3072,2,1,2,220,106,2005,"Darebin",-37.7442,145.0168,"Northern Metropolitan",14577,18
"415","Preston","1c Mary St",2,"h",770000,"S","Jellis","18/06/2016",8.8,3072,2,2,1,76,129,2013,"Darebin",-37.7443,145.0015,"Northern Metropolitan",14577,10
"416","Preston","194 Miller St",4,"h",950000,"S","Ray","27/11/2016",8.8,3072,4,2,1,243,140,2005,"Darebin",-37.7506,144.9847,"Northern Metropolitan",14577,18
"417","Reservoir","17 Odowd St",2,"h",535000,"S","Ray","4/06/2016",11.2,3073,2,1,1,234,92,2014,"Darebin",-37.7182,145.0161,"Northern Metropolitan",21650,9
"418","Reservoir","57 Barry St",3,"h",8e+05,"S","Barry","6/08/2016",11.2,3073,3,1,5,4679,170,1975,"Darebin",-37.7093,145.0012,"Northern Metropolitan",21650,48
"419","Reservoir","1/40 Godley St",1,"h",260000,"PI","hockingstuart","7/05/2016",11.2,3073,1,1,1,141,80,2000,"Darebin",-37.7025,144.9887,"Northern Metropolitan",21650,23
"420","Reservoir","1/1 Leamington St",3,"h",625000,"PI","Barry","7/05/2016",11.2,3073,3,2,1,267,186,2003,"Darebin",-37.7132,145.0075,"Northern Metropolitan",21650,20
"421","Reservoir","5 Bluebell Pl",4,"h",851000,"S","hockingstuart","7/11/2016",11.2,3073,4,2,2,581,244,2006,"Darebin",-37.6926,144.9861,"Northern Metropolitan",21650,17
"422","Reservoir","2/116 Summerhill Rd",3,"h",540000,"PI","Ray","11/02/2017",11.2,3073,3,2,2,215,146,2003,"Darebin",-37.7257,145.0243,"Northern Metropolitan",21650,20
"423","Reservoir","39 Mason St",4,"h",786000,"S","Nelson","16/04/2016",11.2,3073,4,3,1,595,174,2013,"Darebin",-37.7283,145.0072,"Northern Metropolitan",21650,10
"424","Reservoir","89 Darebin Bvd",4,"h",767500,"S","Barry","17/09/2016",11.2,3073,3,2,2,834,129,2017,"Darebin",-37.704,145.0299,"Northern Metropolitan",21650,6
"425","Reservoir","25 Florence Cl",3,"h",613000,"S","Nelson","18/06/2016",11.2,3073,3,1,2,745,149,1985,"Darebin",-37.7007,144.9815,"Northern Metropolitan",21650,38
"426","Reservoir","2/1 Clark St",1,"h",395000,"SP","Purplebricks","25/02/2017",11.2,3073,1,1,1,94,50,2014,"Darebin",-37.7186,145.011,"Northern Metropolitan",21650,9
"427","Reservoir","1 Harmer St",4,"h",885000,"S","hockingstuart","26/07/2016",11.2,3073,4,2,3,936,262,1985,"Darebin",-37.7021,145.0178,"Northern Metropolitan",21650,38
"428","Reservoir","1/21 Crookston Rd",3,"h",550000,"PI","Barry","27/06/2016",11.2,3073,3,2,2,260,128,2006,"Darebin",-37.7106,145.0225,"Northern Metropolitan",21650,17
"429","Reservoir","6 MacKenzie St",3,"h",718500,"S","Nelson","28/05/2016",11.2,3073,3,1,6,807,133,1975,"Darebin",-37.704,144.9864,"Northern Metropolitan",21650,48
"430","Reservoir","12 Nutwood St",5,"h",762500,"S","Nelson","28/05/2016",11.2,3073,3,2,2,548,285,1990,"Darebin",-37.7099,145.0333,"Northern Metropolitan",21650,33
"431","Richmond","33a River St",4,"h",1375000,"S","hockingstuart","6/08/2016",2.6,3121,4,2,2,58,158,2007,"Yarra",-37.817,145.0135,"Northern Metropolitan",14949,16
"432","Richmond","50B Duke St",3,"h",1250000,"S","Biggin","10/12/2016",2.6,3121,3,2,1,120,126,2010,"Yarra",-37.8243,145.0034,"Northern Metropolitan",14949,13
"433","Richmond","41 Shelley St",3,"h",1465000,"S","Biggin","12/11/2016",2.6,3121,3,2,2,233,170,1993,"Yarra",-37.8122,144.9937,"Northern Metropolitan",14949,30
"434","Richmond","27 Glass St",3,"h",1115000,"S","Whiting","14/05/2016",2.6,3121,3,2,2,129,120,1980,"Yarra",-37.824,145.0052,"Northern Metropolitan",14949,43
"435","Richmond","42 Hunter St",2,"h",860000,"S","Biggin","15/10/2016",2.6,3121,2,2,0,74,95,2000,"Yarra",-37.8207,145.0053,"Northern Metropolitan",14949,23
"436","Richmond","18 Buckingham St",3,"h",9e+05,"S","Biggin","17/09/2016",2.6,3121,3,3,1,58,60,2009,"Yarra",-37.8139,145.0012,"Northern Metropolitan",14949,14
"437","Richmond","5 Koorang La",3,"h",1100000,"PI","Biggin","18/06/2016",2.6,3121,3,2,1,66,118,2013,"Yarra",-37.8181,145.007,"Northern Metropolitan",14949,10
"438","Richmond","5 Birch Sq",3,"h",1350000,"VB","Jellis","27/11/2016",2.6,3121,3,2,2,133,174,2000,"Yarra",-37.8183,145.0079,"Northern Metropolitan",14949,23
"439","Richmond","20 Lincoln St",4,"h",1212500,"S","Kay","30/07/2016",2.6,3121,4,3,2,108,108,2010,"Yarra",-37.8129,145.0013,"Northern Metropolitan",14949,13
"440","Rosanna","11/77 McCrae Rd",2,"h",430000,"S","hockingstuart","16/04/2016",11.4,3084,2,1,1,164,83,1980,"Banyule",-37.7362,145.079,"Eastern Metropolitan",3540,43
"441","Rosanna","51 Davies St",3,"h",1012000,"S","Fletchers","17/09/2016",11.4,3084,3,2,1,323,142,2015,"Banyule",-37.7359,145.0614,"Eastern Metropolitan",3540,8
